Mar 2013,6185.0,5765.0,421.0,7.0,52.0,41.0,73.0,358.0,27.0,260.0,10.85,39.0,BRITANNIA,4.2,6.81,6.79,,96.66,,93.21,10.27,,,,
Mar 2014,6913.0,6286.0,627.0,9.0,34.0,8.0,83.0,569.0,30.0,395.0,16.48,36.0,BRITANNIA,5.71,9.07,9.07,,170.7,,90.93,78.38,,,,
Mar 2015,7858.0,6988.0,870.0,11.0,228.0,4.0,144.0,950.0,28.0,689.0,28.71,28.0,BRITANNIA,8.77,11.07,11.07,,266.0,,88.93,217.5,,,,
Mar 2016,8397.0,7174.0,1224.0,15.0,115.0,5.0,113.0,1220.0,32.0,825.0,34.36,29.0,BRITANNIA,9.82,14.58,14.56,,390.4,,85.44,244.8,,,,
Mar 2017,9054.0,7776.0,1278.0,14.0,151.0,5.0,119.0,1304.0,32.0,885.0,36.85,30.0,BRITANNIA,9.77,14.12,14.12,,417.28,,85.88,255.6,,,,
Mar 2018,9914.0,8413.0,1501.0,15.0,166.0,8.0,142.0,1518.0,34.0,1004.0,41.83,30.0,BRITANNIA,10.13,15.14,15.14,,516.12,,84.86,187.63,,,,
Mar 2019,11055.0,9322.0,1732.0,16.0,206.0,9.0,162.0,1768.0,35.0,1155.0,48.23,31.0,BRITANNIA,10.45,15.67,15.68,,618.8,,84.32,192.44,,,,
Mar 2020,11600.0,9756.0,1843.0,16.0,263.0,77.0,185.0,1844.0,24.0,1394.0,58.33,60.0,BRITANNIA,12.02,15.89,15.9,,442.56,,84.1,23.94,,,,
Mar 2021,13136.0,10627.0,2509.0,19.0,313.0,111.0,198.0,2514.0,26.0,1851.0,77.38,204.0,BRITANNIA,14.09,19.1,19.1,,653.64,,80.9,22.6,,,,
Mar 2022,14136.0,11935.0,2201.0,16.0,222.0,144.0,201.0,2078.0,27.0,1516.0,63.31,89.0,BRITANNIA,10.72,15.57,15.57,,561.06,,84.43,15.28,,,,
Mar 2023,16301.0,13470.0,2831.0,17.0,597.0,169.0,226.0,3033.0,24.0,2316.0,96.39,75.0,BRITANNIA,14.21,17.37,17.37,,727.92,,82.63,16.75,,,,
Mar 2024,16769.0,13603.0,3167.0,19.0,211.0,164.0,300.0,2913.0,27.0,2134.0,88.84,83.0,BRITANNIA,12.73,18.89,18.88,,786.51,,81.12,19.31,,,,
TTM,17009.0,13781.0,3228.0,19.0,188.0,140.0,304.0,2973.0,0.0,2184.0,90.83,0.0,BRITANNIA,12.84,18.98,18.98,,0.0,,81.02,23.06,,,,
Mar 2013,6140.0,5148.0,992.0,16.0,100.0,59.0,85.0,948.0,19.0,766.0,4.38,34.0,DABUR,12.48,16.16,16.16,,180.12,,83.84,16.81,,,,
Mar 2014,7058.0,5897.0,1162.0,16.0,126.0,54.0,97.0,1136.0,19.0,916.0,5.24,33.0,DABUR,12.98,16.46,16.45,,215.84,,83.55,21.52,,,,
Mar 2015,7795.0,6475.0,1320.0,17.0,154.0,40.0,115.0,1319.0,19.0,1068.0,6.07,33.0,DABUR,13.7,16.93,16.93,,250.61,,83.07,33.0,,,,
Mar 2016,7780.0,6261.0,1518.0,20.0,217.0,48.0,133.0,1554.0,19.0,1254.0,7.11,32.0,DABUR,16.12,19.51,19.52,,295.26,,80.48,31.63,,,,
Mar 2017,7614.0,6102.0,1512.0,20.0,296.0,54.0,143.0,1611.0,21.0,1280.0,7.25,31.0,DABUR,16.81,19.86,19.86,,338.31,,80.14,28.0,,,,
Mar 2018,7722.0,6104.0,1617.0,21.0,291.0,53.0,162.0,1693.0,20.0,1358.0,7.69,81.0,DABUR,17.59,20.94,20.95,,338.6,,79.05,30.51,,,,
Mar 2019,8515.0,6775.0,1740.0,20.0,222.0,60.0,177.0,1725.0,16.0,1446.0,8.17,34.0,DABUR,16.98,20.43,20.43,,276.0,,79.57,29.0,,,,
Mar 2020,8685.0,6892.0,1792.0,21.0,205.0,50.0,220.0,1728.0,16.0,1448.0,8.18,37.0,DABUR,16.67,20.63,20.64,,276.48,,79.36,35.84,,,,
Mar 2021,9562.0,7560.0,2002.0,21.0,325.0,31.0,240.0,2056.0,18.0,1695.0,9.58,50.0,DABUR,17.73,20.94,20.94,,370.08,,79.06,64.58,,,,
Mar 2022,10889.0,8637.0,2252.0,21.0,308.0,39.0,253.0,2269.0,23.0,1742.0,9.84,53.0,DABUR,16.0,20.68,20.68,,521.87,,79.32,57.74,,,,
Mar 2023,11530.0,9367.0,2162.0,19.0,445.0,78.0,311.0,2219.0,23.0,1701.0,9.64,54.0,DABUR,14.75,18.75,18.76,,510.37,,81.24,27.72,,,,
Mar 2024,12404.0,10004.0,2400.0,19.0,482.0,124.0,399.0,2359.0,23.0,1811.0,10.4,53.0,DABUR,14.6,19.35,19.35,,542.57,,80.65,19.35,,,,
TTM,12623.0,10173.0,2450.0,19.0,503.0,133.0,412.0,2408.0,0.0,1849.0,10.6,0.0,DABUR,14.65,19.41,19.41,,0.0,,80.59,18.42,,,,
Mar 2013,1595.0,1252.0,343.0,22.0,54.0,7.0,22.0,369.0,15.0,315.0,6.93,38.0,EMAMILTD,19.75,21.5,21.5,,55.35,,78.5,49.0,,,,
Mar 2014,1700.0,1255.0,445.0,26.0,53.0,5.0,35.0,457.0,12.0,402.0,8.87,39.0,EMAMILTD,23.65,26.18,26.18,,54.84,,73.82,89.0,,,,
Mar 2015,2076.0,1536.0,541.0,26.0,91.0,5.0,34.0,592.0,18.0,485.0,10.7,33.0,EMAMILTD,23.36,26.06,26.01,,106.56,,73.99,108.2,,,,
Mar 2016,2358.0,1670.0,688.0,29.0,44.0,54.0,255.0,423.0,14.0,363.0,8.0,44.0,EMAMILTD,15.39,29.18,29.18,,59.22,,70.82,12.74,,,,
Mar 2017,2488.0,1729.0,759.0,31.0,31.0,58.0,309.0,424.0,20.0,340.0,7.5,47.0,EMAMILTD,13.67,30.51,30.51,,84.8,,69.49,13.09,,,,
Mar 2018,2531.0,1812.0,719.0,28.0,19.0,34.0,311.0,393.0,22.0,306.0,6.77,52.0,EMAMILTD,12.09,28.41,28.41,,86.46,,71.59,21.15,,,,
Mar 2019,2695.0,1970.0,725.0,27.0,25.0,21.0,325.0,403.0,25.0,303.0,6.68,60.0,EMAMILTD,11.24,26.9,26.9,,100.75,,73.1,34.52,,,,
Mar 2020,2655.0,1970.0,685.0,26.0,46.0,21.0,336.0,374.0,19.0,302.0,6.67,60.0,EMAMILTD,11.37,25.8,25.8,,71.06,,74.2,32.62,,,,
Mar 2021,2881.0,2000.0,880.0,31.0,69.0,13.0,367.0,569.0,20.0,455.0,10.23,78.0,EMAMILTD,15.79,30.54,30.58,,113.8,,69.42,67.69,,,,
Mar 2022,3192.0,2254.0,938.0,29.0,90.0,5.0,335.0,688.0,-22.0,837.0,19.02,42.0,EMAMILTD,26.22,29.39,29.39,,-151.36,,70.61,187.6,,,,
Mar 2023,3406.0,2550.0,855.0,25.0,69.0,7.0,247.0,670.0,6.0,627.0,14.5,55.0,EMAMILTD,18.41,25.1,25.13,,40.2,,74.87,122.14,,,,
